#{"t_start": 1769534691.7832222, "env_id": "None"}
r,l,t
0.0,46,6.909108
0.0,31,6.930995
0.0,52,6.933024
0.0,25,6.947001
0.0,6,6.974372
0.0,47,6.974372
0.0,21,6.974372
0.0,6,6.996697
0.0,27,7.008889
0.0,16,7.056877
0.0,37,7.135796
0.0,57,7.144857
0.0,51,7.188799
0.0,8,7.201697
0.0,13,7.208
0.0,8,7.252615
0.0,41,7.252615
0.0,2,7.258662
0.0,18,7.316936
0.0,69,7.335652
0.0,32,7.342694
0.0,72,7.342694
0.0,10,7.371895
0.0,65,7.396045
0.0,76,7.401686
0.0,31,7.401686
0.0,4,7.440532
0.0,18,7.453087
0.0,45,7.508978
0.0,20,7.571236
0.0,38,7.579131
0.0,40,7.579131
0.0,52,7.631727
0.0,16,7.652303
0.0,23,7.707726
0.0,48,7.711804
0.0,59,7.736889
0.0,2,7.743033
0.0,12,7.772489
0.0,21,7.788875
0.0,6,7.792915
0.0,18,7.796922
0.0,56,7.805005
0.0,6,7.841049
0.0,13,7.841049
0.0,36,7.845059
0.0,2,7.850269
0.0,8,7.864805
0.0,14,7.875244
0.0,9,7.882402
0.0,20,7.938993
0.0,2,7.946995
0.0,17,7.95114
0.0,18,7.988853
0.0,32,8.006617
0.0,23,8.010744
0.0,5,8.052102
0.0,2,8.059106
0.0,17,8.059106
0.0,16,8.068782
0.0,89,8.071564
0.0,11,8.122809
0.0,125,8.122809
0.0,2,8.127882
0.0,24,8.194067
0.0,21,8.197076
0.0,32,8.200104
0.0,8,8.249151
0.0,23,8.253635
0.0,33,8.260773
0.0,2,8.266769
0.0,87,8.269712
0.0,8,8.278763
0.0,65,8.323747
0.0,5,8.336984
0.0,19,8.380102
0.0,35,8.390666
0.0,15,8.415736
0.0,42,8.443256
0.0,10,8.473491
0.0,49,8.512792
0.0,29,8.53273
0.0,13,8.542747
0.0,39,8.58886
0.0,84,8.592901
0.0,64,8.614936
0.0,21,8.664325
0.0,21,8.712123
0.0,20,8.732265
0.0,32,8.775428
0.0,41,8.778951
0.0,53,8.799075
0.0,24,8.851977
0.0,80,8.867792
0.0,19,8.871806
0.0,17,8.908637
0.0,6,8.911534
0.0,2,8.91882
0.0,2,8.957001
0.0,54,9.025838
0.0,40,9.032373
0.0,17,9.052401
0.0,27,9.147039
0.0,20,9.249092
0.0,81,9.271159
0.0,14,9.316778
0.0,56,9.320836
0.0,111,9.332433
0.0,196,9.372828
0.0,6,9.392926
0.0,28,9.463831
0.0,30,9.466974
0.0,2,9.49909
0.0,18,9.507074
0.0,8,9.523725
0.0,105,9.53285
0.0,16,9.585108
0.0,22,9.594645
0.0,4,9.634923
0.0,17,9.64477
0.0,137,9.646775
0.0,4,9.659101
0.0,17,9.667309
0.0,12,9.701642
0.0,30,9.70716
0.0,152,9.715203
0.0,12,9.726868
0.0,16,9.730896
0.0,84,9.738916
0.0,13,9.787102
0.0,19,9.798637
0.0,4,9.798637
0.0,20,9.848679
0.0,7,9.848679
0.0,11,9.863616
0.0,4,9.863616
0.0,14,9.924245
0.0,11,9.928775
0.0,48,9.944558
0.0,52,9.992148
0.0,45,9.994153
0.0,2,9.999426
0.0,121,10.010981
0.0,2,10.044688
0.0,16,10.052828
0.0,9,10.075075
0.0,61,10.109089
0.0,19,10.113406
0.0,2,10.121105
0.0,33,10.121105
0.0,6,10.125113
0.0,15,10.194136
0.0,21,10.240444
0.0,25,10.243578
0.0,2,10.250314
0.0,14,10.27284
0.0,30,10.27284
0.0,73,10.27284
0.0,5,10.314386
0.0,21,10.336633
0.0,12,10.336633
0.0,7,10.336633
0.0,12,10.336633
0.0,4,10.374993
0.0,84,10.396029
0.0,15,10.439086
0.0,18,10.446858
0.0,79,10.469297
0.0,2,10.501467
0.0,111,10.605205
0.0,49,10.605205
0.0,33,10.639009
0.0,7,10.655089
0.0,52,10.655089
0.0,10,10.712369
0.0,8,10.736071
0.0,34,10.79589
0.0,33,10.845036
0.0,81,10.852182
0.0,10,10.858373
0.0,4,10.858373
0.0,2,10.858373
0.0,2,10.86439
0.0,83,10.873881
0.0,24,10.873881
0.0,6,10.901179
0.0,2,10.908721
0.0,9,10.915694
0.0,13,10.974629
0.0,14,10.974629
0.0,86,10.980155
0.0,133,10.986748
0.0,19,11.006139
0.0,14,11.054412
0.0,76,11.056918
0.0,2,11.060945
0.0,17,11.06295
0.0,18,11.069996
0.0,33,11.074005
0.0,11,11.127121
0.0,18,11.145878
0.0,19,11.145878
0.0,4,11.183688
0.0,56,11.187
0.0,22,11.193036
0.0,20,11.193036
0.0,15,11.200354
0.0,2,11.206982
0.0,12,11.209008
0.0,6,11.254533
0.0,44,11.262816
0.0,2,11.262816
0.0,2,11.267242
0.0,2,11.268573
0.0,13,11.306831
0.0,58,11.312725
0.0,31,11.379041
0.0,13,11.386945
0.0,2,11.389094
0.0,2,11.395144
0.0,23,11.402695
0.0,22,11.410738
0.0,42,11.50279
0.0,23,11.515721
0.0,24,11.526776
0.0,4,11.528798
0.0,10,11.561247
0.0,67,11.566754
0.0,2,11.569938
0.0,36,11.575157
0.0,5,11.585924
0.0,2,11.592836
0.0,12,11.659513
0.0,57,11.779103
0.0,94,11.779103
0.0,27,11.808933
0.0,4,11.814139
0.0,16,11.860792
0.0,9,11.891756
0.0,19,11.930879
0.0,53,11.936913
0.0,27,11.943176
0.0,56,11.946685
0.0,4,11.953664
0.0,39,12.018783
0.0,28,12.06105
