#{"t_start": 1769553017.487848, "env_id": "None"}
r,l,t
0.0,120,318.236356
0.0,120,343.322754
0.0,120,343.350282
0.0,120,343.366883
0.0,120,343.390765
0.0,38,343.587045
0.0,120,343.691211
0.0,108,343.743713
0.9925,1,343.754287
0.0,120,343.787269
0.9775,3,343.809922
0.0,76,343.816062
0.0,120,343.962771
0.0,28,344.024095
0.925,10,344.037703
0.0,120,344.118059
0.0,120,344.159491
0.0,120,344.20169
0.0,120,368.949742
0.0,120,369.179325
0.265,98,369.189935
0.0,120,369.3172
0.0,81,369.372345
0.0,68,369.418767
0.9925,1,369.43206
0.0,29,369.456918
0.0,120,369.467628
0.0,120,369.712821
0.58,56,369.797465
0.9175,11,369.797465
0.0,120,369.803819
0.9475,7,369.845313
0.0,120,369.87602
0.355,86,369.908403
0.0,120,369.918958
0.97,4,369.946696
0.8275,23,399.254988
0.0,28,399.562913
0.0,97,399.575944
0.0,51,399.575944
0.94,8,399.694867
0.0,120,399.811143
0.0,14,399.86131
0.0,120,399.899193
0.0,120,399.912695
0.0,8,399.937093
0.97,4,399.971527
0.4525,73,399.971527
0.0,16,400.043163
0.0,79,400.081487
0.0,27,400.123956
0.2125,105,400.27238
0.0,120,400.327617
0.0,10,400.433655
0.0,6,400.536427
0.2875,95,400.605034
0.0,120,430.636298
0.4075,79,430.649432
0.9775,3,430.671536
0.0,120,430.786485
0.0,120,430.917638
0.0,120,430.917638
0.445,74,431.01087
0.0,120,431.034248
0.0,120,431.097639
0.4075,79,431.123667
0.0,54,431.141635
0.0,120,431.248198
0.49,68,431.275689
0.97,4,431.320168
0.8875,15,431.444886
0.6925,41,431.487591
0.9475,7,431.50137
0.3775,83,431.517392
0.4825,69,458.609666
0.0,44,458.874827
0.0,120,459.008228
0.0,120,459.008228
0.0,19,459.052669
0.0,120,459.120127
0.91,12,459.120127
0.9925,1,459.138329
0.0,120,459.200058
0.0,2,459.244855
0.0,120,459.253747
0.865,18,459.270058
0.0,3,459.296103
0.0,87,459.395817
0.0,120,459.422627
0.4525,73,459.439512
0.9025,13,459.460335
0.985,2,459.460335
0.8875,15,459.460335
0.925,10,459.568102
0.895,14,459.612068
0.0,34,459.644394
0.985,2,459.668221
0.52,64,459.733859
0.0,120,459.733859
0.85,20,459.780806
0.0,12,459.859338
0.8575,19,459.859338
0.6175,51,487.039464
0.5725,57,487.103349
0.0,18,487.119469
0.895,14,487.158536
0.0,1,487.165626
0.985,2,487.179208
0.9475,7,487.222775
0.0,46,487.244204
0.0,73,487.254635
0.0,52,487.419843
0.865,18,487.419843
0.0,120,487.459323
0.0,120,487.473042
0.0,1,487.486378
0.8125,25,487.504545
0.0,3,487.512326
0.0,59,487.631746
0.8125,25,487.651204
0.0,30,487.704636
0.9325,9,487.734192
0.265,98,487.763904
0.0,120,487.815752
0.985,2,487.833567
0.46,72,487.866502
0.49,68,488.028013
0.0,77,506.893607
0.0,120,506.905096
0.91,12,506.940845
0.9475,7,506.973711
0.9625,5,507.092934
0.0,11,507.171879
0.0,120,507.335867
0.0,92,507.35483
0.0,120,507.491893
0.6775,43,507.524396
0.0,120,507.553187
0.0,104,507.587833
0.0,120,507.602177
0.0,120,507.66734
0.865,18,507.686109
0.895,14,507.712022
0.0,7,507.765677
0.0,105,507.925016
0.0,120,507.974082
0.6775,43,529.87186
0.0,78,529.966432
0.0,57,529.974919
0.22,104,530.002421
0.97,4,530.014898
0.7975,27,530.049809
0.895,14,530.119878
0.0,120,530.13727
0.0,9,530.175484
0.76,32,530.20242
0.0,120,530.247034
0.67,44,530.304827
0.0,120,530.332474
0.0,1,530.34116
0.9325,9,530.367577
0.0,120,530.571781
0.0,24,530.590245
0.0,120,530.737941
0.97,4,530.773989
0.0,120,530.819886
0.715,38,549.27287
0.0,92,549.336864
0.0,22,549.360078
0.0,120,549.374076
0.0,120,549.460652
0.6625,45,549.479821
0.0,18,549.487805
0.9925,1,549.487805
0.0,120,549.507574
0.955,6,549.507574
0.7825,29,549.540052
0.4225,77,549.54829
0.9025,13,549.574296
0.0,120,549.582424
0.0,32,549.597893
0.8575,19,549.687993
0.0,120,549.718547
0.0,38,549.874929
0.0,28,549.933979
0.0,6,549.982835
0.52,64,549.99114
0.0,29,550.087255
0.8875,15,550.093946
0.0,59,550.13071
0.0,120,550.137223
0.9475,7,550.175143
0.7975,27,569.62692
0.985,2,569.640881
0.0,120,569.660869
0.0,120,569.679624
0.0,120,569.729413
0.97,4,569.766412
0.0,120,569.77982
0.0,120,569.811243
0.4975,67,569.907725
0.9925,1,569.915775
0.9325,9,569.982186
0.67,44,570.039325
0.0,36,570.049956
0.0,120,570.1696
0.5575,59,570.224681
0.0,120,570.260645
0.1525,113,570.308001
0.955,6,570.340772
0.0,1,570.347074
0.0,33,590.066621
0.955,6,590.10924
0.145,114,590.10924
0.0,120,590.129905
0.0,120,590.238625
0.685,42,590.387433
0.985,2,590.404115
0.0,120,590.412495
0.955,6,590.457459
0.0,120,590.470429
0.0,120,590.476926
0.5575,59,590.518416
0.97,4,590.546419
0.0,120,590.598379
0.0,26,590.671031
0.9775,3,590.693293
0.97,4,590.722603
0.0,120,590.722603
0.0,120,590.831502
0.0,120,610.096599
0.0,106,610.124781
0.0,51,610.207778
0.3925,81,610.252675
0.94,8,610.265531
0.2125,105,610.344468
0.9775,3,610.366188
0.0,41,610.383601
0.0,120,610.383601
0.0,120,610.435596
0.7975,27,610.460124
0.0,12,610.485776
0.9775,3,610.506886
0.9475,7,610.513985
0.0,120,610.614409
0.0,15,610.644846
0.0,120,610.73279
0.0,120,610.819448
0.0,80,610.981954
0.0,120,611.028342
0.5125,65,630.850915
0.0,120,630.876653
0.5725,57,630.967341
0.0,32,630.967341
0.0,120,631.016083
0.0,120,631.084464
0.0,16,631.106988
0.0,120,631.161729
0.0,16,631.238652
0.0,120,631.2611
0.0,120,631.359608
0.0,18,631.359608
0.0,27,631.534849
0.0,120,631.581056
0.0,120,650.276031
0.0,120,650.311104
0.0,120,650.427055
0.85,20,650.454843
0.0,4,650.487285
0.0,120,650.487285
0.9775,3,650.508052
0.0,120,650.530268
0.9325,9,650.547742
0.0,120,650.595238
0.94,8,650.650696
0.0,120,650.685495
0.0,3,650.709309
0.0,120,650.786156
0.0,13,650.796121
0.475,70,650.846034
0.0,120,650.984706
0.0,120,651.040802
0.0,21,651.153712
0.0,8,674.088951
0.0,95,674.131234
0.9175,11,674.197683
0.0,120,674.218053
0.1225,117,674.282036
0.8725,17,674.331892
0.0,120,674.34991
0.9775,3,674.363405
0.0,32,674.395949
0.955,6,674.404486
0.0,23,674.473841
0.0,120,674.473841
0.97,4,674.534182
0.955,6,674.557184
0.6775,43,674.644922
0.3925,81,674.67397
0.0,120,674.7303
0.0,120,674.748408
0.0,5,674.799038
0.0,120,674.821508
0.7975,27,674.960619
0.9625,5,675.05504
0.655,46,675.118069
0.0,64,675.169859
0.0,88,702.791102
0.385,82,702.869402
0.97,4,702.899228
0.0,120,702.899228
0.0,58,702.910591
0.0,120,702.945351
0.25,100,702.972685
0.9325,9,702.982533
0.235,102,703.085235
0.0,120,703.246019
0.0,43,703.301517
0.1975,107,703.324614
0.0,2,703.356341
0.94,8,703.461585
0.0,120,703.61798
0.7675,31,703.68536
0.9625,5,703.747803
0.91,12,703.763892
0.0,120,734.633645
0.1375,115,734.712492
0.0,120,734.787741
0.0,120,734.818386
0.0,120,734.835795
0.775,30,734.924748
0.0,84,734.944936
0.0,120,735.02576
0.85,20,735.126715
0.0,10,735.163103
0.0,40,735.245045
0.0,120,735.26708
0.0,79,735.26708
0.9775,3,735.301809
0.0,120,735.654334
0.625,50,735.700806
0.9625,5,735.736419
0.9625,5,735.778261
0.0,120,764.716298
0.0,120,764.727178
0.955,6,764.77512
0.985,2,764.792085
0.0,114,764.792085
