#{"t_start": 1769548066.3942976, "env_id": "None"}
r,l,t
0.0,120,109.422547
0.0,120,109.450202
0.8875,15,109.457672
0.0,120,109.48249
0.0,63,109.48252
0.0,70,109.485734
0.0,120,109.504502
0.94,8,109.521748
0.0,113,109.547946
0.0,120,109.554931
0.0,120,109.562291
0.0,51,109.593537
0.0,66,109.593573
0.8725,17,109.598295
0.0,93,109.606954
0.0,120,109.61376
0.0,7,109.707949
0.9775,3,119.656074
0.0,120,119.671203
0.9925,1,119.676999
0.9775,3,119.683569
0.0,55,119.698241
0.0,120,119.743571
0.2575,99,119.762849
0.9925,1,119.765438
0.0,120,119.769922
0.0,120,119.773143
0.0,83,119.80282
0.0,120,119.840855
0.0,120,119.880319
0.0,120,119.885771
0.955,6,119.89534
0.0,26,119.899811
0.0,120,119.902456
0.0,120,119.916933
0.985,2,119.922238
0.0,120,129.069217
0.0,120,129.084314
0.0,3,129.09122
0.34,88,129.094168
0.0,76,129.096999
0.9925,1,129.100475
0.9475,7,129.109182
0.0,120,129.221568
0.0,116,129.234556
0.0,120,129.247112
0.0,39,129.304054
0.985,2,129.30866
0.0,120,129.358797
0.0,120,129.368567
0.0,120,129.373856
0.0,120,129.377228
0.0,120,129.396581
0.0,120,129.415332
0.0,94,138.027018
0.0,120,138.029907
0.0,120,138.035024
0.0,120,138.044211
0.0,120,138.094268
0.505,66,138.102465
0.0,15,138.147063
0.0,120,138.170223
0.1675,111,138.20317
0.0,110,138.21545
0.0,120,138.236262
0.0,92,138.245941
0.0,4,138.245973
0.0,120,138.258732
0.1,120,138.277622
0.0,120,138.298054
0.0,120,147.241915
0.0,120,147.255115
0.0,74,147.271951
0.0,12,147.280795
0.0,120,147.309651
0.0,60,147.329042
0.0,90,147.339668
0.0,120,147.348073
0.0,52,147.355099
0.0,47,147.381217
0.8275,23,147.389751
0.97,4,147.392965
0.1,120,147.416977
0.0,33,147.419607
0.1525,113,147.430036
0.0,120,147.444181
0.895,14,147.447355
0.0,120,147.475415
0.0,120,147.500846
0.6025,53,147.506276
0.0,120,156.118946
0.0,102,156.13618
0.0,40,156.153292
0.0,120,156.157947
0.7525,33,156.16118
0.0,1,156.163718
0.31,92,156.180161
0.0,13,156.187072
0.8875,15,156.19578
0.0,120,156.204206
0.0,49,156.227173
0.0,103,156.25949
0.0,120,156.26822
0.0,36,156.273369
0.0,120,156.280231
0.0,120,156.29529
0.79,28,156.332336
0.0,120,156.350867
0.9925,1,156.357412
0.0,120,164.796544
0.0,120,164.814704
0.0,120,164.841005
0.0,120,164.848281
0.0,120,164.865682
0.9025,13,164.870751
0.0,120,164.889347
0.0,9,164.908688
0.9775,3,164.918135
0.0,120,164.924783
0.0,120,164.934119
0.0,120,164.945264
0.2725,97,164.950963
0.0,120,164.961756
0.745,34,165.006678
0.745,34,165.019435
0.0,120,165.022126
0.9925,1,165.022154
0.0,70,165.027261
0.985,2,165.032084
0.0,120,165.064903
0.0,96,174.557416
0.0,120,174.560471
0.82,24,174.56384
0.9625,5,174.572449
0.9475,7,174.575181
0.9775,3,174.582056
0.0,44,174.586567
0.985,2,174.586594
0.0,120,174.595271
0.0,23,174.618242
0.0,16,174.633482
0.85,20,174.63352
0.0,3,174.640227
0.0,120,174.665535
0.0,120,174.674463
0.97,4,174.678796
0.97,4,174.695506
0.0,120,174.722971
0.0,120,174.742436
0.8275,23,174.758896
0.0,120,174.80344
0.0,120,174.803484
0.0,1,174.807541
0.0,120,174.850483
0.985,2,174.856052
0.0,120,183.474835
0.9175,11,183.478229
0.0,1,183.480889
0.0,94,183.483475
0.73,36,183.486089
0.0,36,183.488723
0.0,120,183.491359
0.0,3,183.496332
0.0,74,183.498964
0.0,120,183.519207
0.88,16,183.525107
0.91,12,183.525142
0.9625,5,183.535953
0.0,120,183.538514
0.985,2,183.543908
0.0,21,183.548445
0.7525,33,183.555454
0.9325,9,183.56405
0.0,97,183.578717
0.0,120,183.589611
0.85,20,183.592951
0.0,22,183.61136
0.0,120,183.613889
0.9475,7,183.631742
0.6475,47,183.642782
0.925,10,183.653411
0.0,2,183.658031
0.985,2,183.662626
0.0,50,183.777102
0.9175,11,183.800067
0.565,58,183.807044
0.3325,89,183.809796
0.0,11,183.834624
0.0,120,183.844419
0.0,120,183.850691
0.865,18,183.85077
0.0,120,193.475787
0.0,101,193.493316
0.8875,15,193.499902
0.0,120,193.504426
0.895,14,193.509964
0.0,29,193.526488
0.0,115,193.558555
0.0,25,193.561243
0.0,90,193.574791
0.0,120,193.591884
0.0,76,193.605757
0.0,24,193.614736
0.0,120,193.623568
0.97,4,193.632978
0.0,63,193.635687
0.97,4,193.644309
0.1675,111,193.714131
0.0,120,193.732976
0.0,48,193.736174
0.9925,1,193.738851
0.0,68,193.743339
0.0,90,203.243445
0.0,120,203.24819
0.0,120,203.253316
0.0,74,203.253344
0.0,1,203.342571
0.865,18,203.353388
0.0,120,203.360142
0.0,120,203.408773
0.9325,9,203.428934
0.0,120,203.4457
0.505,66,203.449165
0.0,46,203.459696
0.97,4,203.46831
0.0,120,203.474725
0.0,69,203.490171
0.0,120,203.545154
0.9925,1,203.549131
0.6475,47,203.551667
0.955,6,203.562833
